group,value1,value2
District of Columbia,64.3,79.1
Mississippi,68.4,77.4
Louisiana,68.8,78.2
Alabama,69.1,77.8
South Carolina,68.6,79.2
West Virginia,69.8,78.1
Georgia,68.7,79.2
Tennessee,69.5,78.7
Kentucky,69.5,78.2
Arkansas,69.8,78.5
Oklahoma,70.8,78
North Carolina,69.5,79.8
Nevada,70.4,80.2
Missouri,70.8,79.6
Indiana,70.9,79.6
Maryland,70.2,80.8
Ohio,70.9,79.7
Delaware,70.3,80.4
Michigan,70.4,80.1
Virginia,70.3,80.7
Texas,70.5,80.4
Illinois,70.7,81
Pennsylvania,70.8,80.7
Alaska,70.9,80.1
New Mexico,71.2,80.6
New York,70.2,82.2
Wyoming,72,80.2
Florida,71.2,81.6
New Jersey,70.9,82
Maine,71.5,80.9
Kansas,72.3,80.5
Montana,72.3,80.5
Arizona,71.7,81.7
Oregon,72,81.2
Rhode Island,71.7,81.4
Vermont,71.7,81.6
South Dakota,72,81.4
Nebraska,72.3,81.4
California,71.7,82.5
Idaho,72.8,80.9
Wisconsin,72.5,81.6
Iowa,72.5,81.2
New Hampshire,72,81.9
Washington,72.5,81.6
Massachusetts,71.9,82.4
Colorado,72.9,81.7
Connecticut,72.4,82.5
North Dakota,72.9,82
Utah,73.6,81.6
Minnesota,73,82.5
Hawaii,74.6,83.5