time,natural,total
1961,165000,380000
1962,165000,400000
1963,165000,440000
1964,165000,480000
1965,165000,510000
1966,165000,540000
1967,165000,580000
1968,165000,630000
1969,165000,660000
1970,165000,720000
1971,165000,770000
1972,165000,840000
1973,165000,910000
1974,165000,980000
1975,165000,1040000
1976,165000,1050000
1977,165000,1070000
1978,165000,1070000
1979,165000,1110000
1980,165000,1080000
1981,165000,1040000
1982,165000,1100000
1983,165000,1090000
1984,165000,1150000
1985,165000,1180000
1986,165000,1280000
1987,165000,1360000
1988,165000,1460000
1989,165000,1410000
1990,165000,1320000
1991,165000,1190000
1992,165000,1080000
1993,165000,960000
1994,165000,820000
1995,165000,760000
1996,165000,700000
1997,165000,640000
1998,165000,600000
1999,165000,590000
2000,165000,560000
2001,165000,530000
2002,165000,490000
2003,165000,480000
2004,165000,470000
2005,165000,450000
2006,165000,430000
2007,165000,410000
2008,165000,400000
2009,165000,390000
2010,165000,380000
2011,165000,370000
2012,165000,350000
2013,165000,340000
2014,165000,320000